id;name;section;province
1;ADOLFO ALSINA;6;2
2;ALBERTI;4;2
3;ALMIRANTE BROWN;3;2
4;AVELLANEDA;3;2
5;AYACUCHO;5;2
6;AZUL;7;2
7;BAHIA BLANCA;6;2
8;BALCARCE;5;2
9;BARADERO;2;2
10;ARRECIFES;2;2
11;BERAZATEGUI;3;2
12;BERISSO;3;2
13;BOLIVAR;7;2
14;BRAGADO;4;2
15;BRANDSEN;3;2
16;CAMPANA;1;2
17;CAÃ‘UELAS;3;2
18;CAPITAN SARMIENTO;2;2
19;CARLOS CASARES;4;2
20;CARLOS TEJEDOR;4;2
21;CARMEN DE ARECO;2;2
22;PATAGONES;6;2
23;CASTELLI;5;2
24;COLON;2;2
25;CORONEL DORREGO;6;2
26;CORONEL PRINGLES;6;2
27;CORONEL ROSALES;6;2
28;CORONEL SUAREZ;6;2
29;CHACABUCO;4;2
30;CHASCOMUS;5;2
31;CHIVILCOY;4;2
32;DAIREAUX;6;2
33;DOLORES;5;2
34;ENSENADA;3;2
35;ESCOBAR;1;2
36;ESTEBAN ECHEVERRIA;3;2
37;EXALTACION DE LA CRUZ;2;2
38;FLORENCIO VARELA;3;2
39;GENERAL ALVARADO;5;2
40;GENERAL ALVEAR;7;2
41;GENERAL ARENALES;4;2
42;GENERAL BELGRANO;5;2
43;GENERAL GUIDO;5;2
44;GENERAL LAMADRID;6;2
45;LAS HERAS;1;2
46;GENERAL LAVALLE;5;2
47;GENERAL MADARIAGA;5;2
48;GENERAL PAZ;5;2
49;GENERAL PINTO;4;2
50;GENERAL PUEYRREDON;5;2
51;GENERAL RODRIGUEZ;1;2
52;GENERAL SAN MARTIN;1;2
53;SAN MIGUEL;1;2
54;GENERAL VIAMONTE;4;2
55;GENERAL VILLEGAS;4;2
56;GONZALES CHAVES;6;2
57;GUAMINI;6;2
58;HIPOLITO YRIGOYEN;4;2
59;JUAREZ;6;2
60;JUNIN;4;2
61;MATANZA;3;2
62;LANUS;3;2
63;LA PLATA;8;2
64;LAPRIDA;6;2
65;LAS FLORES;5;2
66;LEANDRO N. ALEM;4;2
67;LINCOLN;4;2
68;LOBERIA;5;2
69;LOBOS;3;2
70;LOMAS DE ZAMORA;3;2
71;LUJAN;1;2
72;MAGDALENA;3;2
73;MAIPU;5;2
74;MAR CHIQUITA;5;2
75;MARCOS PAZ;1;2
76;MERCEDES;1;2
77;MERLO;1;2
78;MONTE;5;2
79;MORENO;1;2
80;MORON;1;2
81;NAVARRO;1;2
82;NECOCHEA;5;2
83;NUEVE DE JULIO;4;2
84;OLAVARRIA;7;2
85;PEHUAJO;4;2
86;PELLEGRINI;6;2
87;PERGAMINO;2;2
88;PILA;5;2
89;PILAR;1;2
90;PINAMAR;5;2
91;PUAN;6;2
92;QUILMES;3;2
93;RAMALLO;2;2
94;RAUCH;5;2
95;RIVADAVIA;4;2
96;ROJAS;2;2
97;ROQUE PEREZ;7;2
98;SAAVEDRA;6;2
99;SALADILLO;7;2
100;SALLIQUELO;6;2
101;SALTO;2;2
102;SAN ANDRES DE GILES;2;2
103;SAN ANTONIO DE ARECO;2;2
104;SAN CAYETANO;5;2
105;SAN FERNANDO;1;2
106;SAN ISIDRO;1;2
107;SAN NICOLAS;2;2
108;SAN PEDRO;2;2
109;SAN VICENTE;3;2
110;SUIPACHA;1;2
111;TANDIL;5;2
112;TAPALQUE;7;2
113;TIGRE;1;2
114;TORNQUIST;6;2
115;TRENQUE LAUQUEN;4;2
116;TORDILLO;5;2
117;TRES ARROYOS;6;2
118;TRES DE FEBRERO;1;2
119;LA COSTA;5;2
120;MONTE HERMOSO;6;2
121;VEINTICINCO DE MAYO;7;2
122;VICENTE LOPEZ;1;2
123;VILLA GESELL;5;2
124;VILLARINO;6;2
125;ZARATE;2;2
126;TRES LOMAS;6;2
127;F.AMEGHINO;4;2
128;PRESIDENTE PERON;3;2
129;J.C.PAZ;1;2
130;MALVINAS ARGENTINAS;1;2
131;PUNTA INDIO;3;2
132;EZEIZA;3;2
133;ITUZAINGO;1;2
134;HURLINGHAM;1;2
135;LEZAMA;5;2